Restaurant Name,Country Code,City,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes,Country,Primary Cuisine,Cost Category,norm_votes,norm_rating,Score,Explanation
The Cheesecake Factory,214,Dubai,55.27856994,25.19726756,"american, desserts",270,No,No,No,3,4.7,2424,UAE,american,Medium,0.2507499741388228,0.9400000000000001,0.7332249922416468,"Matched on american cuisine, Medium budget in UAE with rating 4.7"
Pom Pom's Teahouse and Sandwicheria,216,Orlando,-81.351467,28.543571,"american, sandwich, tea",25,No,No,No,2,4.9,1457,United States,american,Low,0.15071894072618186,0.9800000000000001,0.7312156822178546,"Matched on american cuisine, Low budget in United States with rating 4.9"
Mazzaro's Italian Market,216,Tampa Bay,-82.673621,27.792047,"italian, deli",10,No,No,No,1,4.9,1424,United States,italian,Low,0.1473052653356781,0.9800000000000001,0.7301915796007035,"Matched on italian cuisine, Low budget in United States with rating 4.9"
Mr. Dunderbak's Biergarten and Marketplatz,216,Tampa Bay,-82.41294,28.082909,"european, german",40,No,No,No,3,4.9,1413,United States,european,Low,0.1461673735388435,0.9800000000000001,0.7298502120616531,"Matched on european cuisine, Low budget in United States with rating 4.9"
Ricos,1,New Delhi,77.2041921,28.6948159,"cafe, mexican, american, italian, lebanese, continental",900,No,No,No,2,4.3,4085,India,cafe,High,0.4225716354608462,0.86,0.7287714906382539,"Matched on cafe cuisine, High budget in India with rating 4.3"
Tresind - Nassima Royal Hotel,214,Dubai,55.28256778,25.22347744,indian,500,Yes,No,No,4,4.9,1352,UAE,indian,Medium,0.13985724630185167,0.9800000000000001,0.7279571738905556,"Matched on indian cuisine, Medium budget in UAE with rating 4.9"
Mama's Fish House,216,Rest of Hawaii,-156.366445,20.929622,"hawaiian, seafood",70,No,No,No,4,4.9,1343,United States,hawaiian,Low,0.13892624392262337,0.9800000000000001,0.7276778731767871,"Matched on hawaiian cuisine, Low budget in United States with rating 4.9"
Big Yellow Door,1,New Delhi,77.204991,28.6934439,"cafe, italian, fast food",600,No,No,No,2,4.3,3986,India,cafe,Medium,0.41233060928933485,0.86,0.7256991827868005,"Matched on cafe cuisine, Medium budget in India with rating 4.3"
Ella's Americana Folk Art Cafe,216,Tampa Bay,-82.451041,27.993645,"international, italian, southern",40,No,No,No,3,4.8,1715,United States,international,Low,0.1774076755973932,0.96,0.725222302679218,"Matched on international cuisine, Low budget in United States with rating 4.8"
Yellow Dog Eats,216,Orlando,-81.522987,28.527592,"american, bbq, sandwich",35,No,No,No,3,4.9,1252,United States,american,Low,0.1295127754215372,0.9800000000000001,0.7248538326264612,"Matched on american cuisine, Low budget in United States with rating 4.9"
Hollerbach's Willow Tree Cafï¿½ï¿½,216,Orlando,-81.266871,28.811653,german,40,No,No,No,3,4.8,1699,United States,german,Low,0.17575256025654287,0.96,0.7247257680769628,"Matched on german cuisine, Low budget in United States with rating 4.8"
The Fusion Kitchen,1,Mumbai,72.848923,19.254567,"north indian, italian, chinese, mexican",1000,Yes,Yes,No,3,4.7,2083,India,north indian,High,0.21547532843695044,0.9400000000000001,0.7226425985310851,"Matched on north indian cuisine, High budget in India with rating 4.7"
Joey's Pizza,1,Mumbai,72.829976,19.12663,pizza,800,No,No,No,2,4.0,5145,India,pizza,High,0.5322230267921796,0.8,0.7196669080376539,"Matched on pizza cuisine, High budget in India with rating 4.0"
Silantro Fil-Mex,162,Pasig City,121.057916,14.567689,"filipino, mexican",800,No,No,No,3,4.9,1070,Phillipines,filipino,High,0.11068583841936484,0.9800000000000001,0.7192057515258095,"Matched on filipino cuisine, High budget in Phillipines with rating 4.9"
Grandson of Tunday Kababi,1,Lucknow,80.92743056,26.84850556,"mughlai, lucknowi",300,No,No,No,1,4.9,1057,India,mughlai,Medium,0.10934105720492397,0.9800000000000001,0.7188023171614772,"Matched on mughlai cuisine, Medium budget in India with rating 4.9"
Starbucks,208,ï¿½ï¿½stanbul,29.04373437,41.07769599,cafe,30,No,No,No,2,4.9,1042,Turkey,cafe,Low,0.1077893865728768,0.9800000000000001,0.718336815971863,"Matched on cafe cuisine, Low budget in Turkey with rating 4.9"
Spice Kraft,1,Kolkata,88.3644527,22.5264613,"continental, middle eastern, asian",1200,No,No,No,3,4.8,1424,India,continental,High,0.1473052653356781,0.96,0.7161915796007033,"Matched on continental cuisine, High budget in India with rating 4.8"
Texas de Brazil,216,Orlando,-81.4510725,28.4676808,"brazilian, steak",100,No,No,No,4,4.6,2324,United States,brazilian,Low,0.24040550325850832,0.9199999999999999,0.7161216509775524,"Matched on brazilian cuisine, Low budget in United States with rating 4.6"
Wenger's,1,New Delhi,77.2183326,28.6333676,"bakery, fast food, desserts",400,No,No,No,1,4.3,3591,India,bakery,Medium,0.3714699493120927,0.86,0.7134409847936278,"Matched on bakery cuisine, Medium budget in India with rating 4.3"
Joey's Pizza,1,Mumbai,72.834715,19.178321,pizza,800,No,Yes,No,2,4.5,2662,India,pizza,High,0.2753698148339712,0.9,0.7126109444501914,"Matched on pizza cuisine, High budget in India with rating 4.5"
Rajinder Da Dhaba,1,New Delhi,77.1992414,28.5654017,"north indian, mughlai, chinese",800,No,No,No,2,4.3,3530,India,north indian,High,0.36515982207510084,0.86,0.7115479466225302,"Matched on north indian cuisine, High budget in India with rating 4.3"
Shorts Burger and Shine,216,Cedar Rapids/Iowa City,-91.534424,41.660982,burger,10,No,No,No,1,4.9,820,United States,burger,Low,0.08482466121857866,0.9800000000000001,0.7114473983655737,"Matched on burger cuisine, Low budget in United States with rating 4.9"
Milse,148,Auckland,174.7686903,-36.84418841,desserts,50,No,No,No,3,4.9,754,New Zealand,desserts,Low,0.07799731043757112,0.9800000000000001,0.7093991931312714,"Matched on desserts cuisine, Low budget in New Zealand with rating 4.9"
Duck & Waffle,215,London,-0.080963,51.516284,british,55,No,No,No,3,4.9,706,United Kingdom,british,Low,0.07303196441502018,0.9800000000000001,0.7079095893245061,"Matched on british cuisine, Low budget in United Kingdom with rating 4.9"
Atlanta Highway Seafood Market,216,Gainesville,-83.838457,34.285102,"sandwich, seafood, cajun",25,No,No,No,2,4.9,681,United States,sandwich,Low,0.07044584669494156,0.9800000000000001,0.7071337540084826,"Matched on sandwich cuisine, Low budget in United States with rating 4.9"
Echoes Satyaniketan,1,New Delhi,77.1671645,28.5876087,"cafe, continental, italian, mexican, chinese, american",600,No,No,No,2,4.7,1563,India,cafe,Medium,0.16168407985931518,0.9400000000000001,0.7065052239577946,"Matched on cafe cuisine, Medium budget in India with rating 4.7"
AB's Absolute Barbecues,214,Dubai,55.32874,25.254105,"continental, indian",160,Yes,No,No,3,4.9,641,UAE,continental,Low,0.06630805834281576,0.9800000000000001,0.7058924175028448,"Matched on continental cuisine, Low budget in UAE with rating 4.9"
Karim's,1,New Delhi,77.23363,28.6493933,"mughlai, north indian",800,No,No,No,2,4.0,4689,India,mughlai,High,0.4850522395779456,0.8,0.7055156718733836,"Matched on mughlai cuisine, High budget in India with rating 4.0"
Marukame Udon,216,Rest of Hawaii,-157.825979,21.279476,japanese,10,No,No,No,1,4.9,602,United States,japanese,Low,0.062273714699493124,0.9800000000000001,0.704682114409848,"Matched on japanese cuisine, Low budget in United States with rating 4.9"
Conï¿½_u,1,Hyderabad,78.40832144,17.43166813,"bakery, desserts",600,No,No,No,2,4.8,1023,India,bakery,Medium,0.10582393710561705,0.96,0.703747181131685,"Matched on bakery cuisine, Medium budget in India with rating 4.8"
The Cafe,216,Des Moines,-93.643094,42.048779,"american, coffee and tea",25,No,No,No,2,4.9,570,United States,american,Low,0.05896348401779249,0.9800000000000001,0.7036890452053378,"Matched on american cuisine, Low budget in United States with rating 4.9"
Tapri Central,1,Jaipur,75.81075322,26.90518991,"cafe, fast food, street food",750,No,Yes,No,2,4.7,1469,India,cafe,High,0.1519602772318196,0.9400000000000001,0.7035880831695459,"Matched on cafe cuisine, High budget in India with rating 4.7"
Rae's Coastal Cafe,216,Augusta,-82.0698,33.4791,"american, caribbean, seafood",40,No,No,No,3,4.9,548,United States,american,Low,0.056687700424123307,0.9800000000000001,0.703006310127237,"Matched on american cuisine, Low budget in United States with rating 4.9"
Draft Gastro Pub,208,ï¿½ï¿½stanbul,29.07411609,40.96393456,bar food,130,No,No,No,4,4.9,522,Turkey,bar food,Low,0.053998137995241544,0.9800000000000001,0.7021994413985725,"Matched on bar food cuisine, Low budget in Turkey with rating 4.9"
Tibby's New Orleans Kitchen,216,Orlando,-81.322631,28.601088,cajun,25,No,No,No,2,4.7,1412,United States,cajun,Low,0.14606392883004035,0.9400000000000001,0.7018191786490121,"Matched on cajun cuisine, Low budget in United States with rating 4.7"
Ingleside Village Pizza,216,Macon,-83.657061,32.853896,"pizza, sandwich",10,No,No,No,1,4.9,478,United States,pizza,Low,0.04944657080790318,0.9800000000000001,0.700833971242371,"Matched on pizza cuisine, Low budget in United States with rating 4.9"
Tantra Asian Bistro,216,Davenport,-90.565837,41.574459,asian,25,No,No,No,2,4.9,474,United States,asian,Low,0.049032791972690594,0.9800000000000001,0.7007098375918073,"Matched on asian cuisine, Low budget in United States with rating 4.9"
Earl of Sandwich,216,Orlando,-81.514608,28.372858,"american, sandwich, salad",35,No,No,No,3,4.7,1341,United States,american,Low,0.13871935450501707,0.9400000000000001,0.6996158063515051,"Matched on american cuisine, Low budget in United States with rating 4.7"
Sagar Gaire Fast Food,1,Bhopal,77.435361,23.214294,fast food,250,No,No,No,1,4.9,427,India,fast food,Low,0.044170890658942794,0.9800000000000001,0.6992512671976829,"Matched on fast food cuisine, Low budget in India with rating 4.9"
Yauatcha,215,London,-0.135229,51.513739,"chinese, dim sum",90,Yes,No,No,4,4.7,1326,United Kingdom,chinese,Low,0.1371676838729699,0.9400000000000001,0.699150305161891,"Matched on chinese cuisine, Low budget in United Kingdom with rating 4.7"
Miyabi 9,216,Des Moines,-93.611366,41.590819,"japanese, sushi",25,No,No,No,2,4.8,860,United States,japanese,Low,0.08896244957070445,0.96,0.6986887348712113,"Matched on japanese cuisine, Low budget in United States with rating 4.8"
J'adore Chocolatier,208,ï¿½ï¿½stanbul,28.97612661,41.03300186,desserts,50,No,No,No,2,4.7,1311,Turkey,desserts,Low,0.13561601324092273,0.9400000000000001,0.6986848039722768,"Matched on desserts cuisine, Low budget in Turkey with rating 4.7"
Cafe Lota,1,New Delhi,77.2419091,28.6131676,"north indian, south indian, bihari",1200,No,No,No,3,4.5,2213,India,north indian,High,0.22892314058135926,0.9,0.6986769421744078,"Matched on north indian cuisine, High budget in India with rating 4.5"
Karakï¿½_y Gï¿½_llï¿½_oï¿½ï¿½lu,208,ï¿½ï¿½stanbul,28.97763569,41.02290443,"desserts, bï¿½_rek",40,No,No,No,2,4.7,1305,Turkey,desserts,Low,0.13499534498810387,0.9400000000000001,0.6984986034964312,"Matched on desserts cuisine, Low budget in Turkey with rating 4.7"
Bombay Brasserie,1,Chennai,80.251865,13.066762,north indian,1200,Yes,Yes,No,3,4.6,1753,India,north indian,High,0.18133857453191268,0.9199999999999999,0.6984015723595737,"Matched on north indian cuisine, High budget in India with rating 4.6"
Carnival By Tresind,214,Dubai,55.281966,25.211183,indian,500,Yes,No,No,4,4.9,322,UAE,indian,Medium,0.0333091962346126,0.9800000000000001,0.6959927588703838,"Matched on indian cuisine, Medium budget in UAE with rating 4.9"
Flat Iron,215,London,-0.138343,51.512069,steak,35,No,No,No,2,4.9,309,United Kingdom,steak,Low,0.03196441502017172,0.9800000000000001,0.6955893245060516,"Matched on steak cuisine, Low budget in United Kingdom with rating 4.9"
Miann,148,Auckland,174.768986,-36.84604966,desserts,25,No,No,No,1,4.9,281,New Zealand,desserts,Low,0.029067963173683667,0.9800000000000001,0.6947203889521052,"Matched on desserts cuisine, Low budget in New Zealand with rating 4.9"
Red Mesa Cantina,216,Tampa Bay,-82.636924,27.770026,"latin american, mexican, southwestern",25,No,No,No,2,4.6,1629,United States,latin american,Low,0.16851143064032276,0.9199999999999999,0.6945534291920967,"Matched on latin american cuisine, Low budget in United States with rating 4.6"
Oakwood Cafe,216,Dalton,-84.969393,34.769686,"bbq, breakfast, southern",10,No,No,No,1,4.9,249,United States,bbq,Low,0.025757732491983036,0.9800000000000001,0.6937273197475949,"Matched on bbq cuisine, Low budget in United States with rating 4.9"
Caterspoint,1,Gurgaon,77.1039737,28.4872636,"mexican, american, healthy food",500,No,Yes,No,2,4.9,223,India,mexican,Medium,0.023068170063101273,0.9800000000000001,0.6929204510189304,"Matched on mexican cuisine, Medium budget in India with rating 4.9"
Punjab Grill,214,Abu Dhabi,54.4872137,24.4106148,"indian, north indian",330,Yes,No,No,4,4.9,216,UAE,indian,Medium,0.02234405710147926,0.9800000000000001,0.6927032171304438,"Matched on indian cuisine, Medium budget in UAE with rating 4.9"
CakeBee,1,Coimbatore,76.94465239,11.02611735,"bakery, desserts",350,No,Yes,No,2,4.9,200,India,bakery,Medium,0.020688941760628944,0.9800000000000001,0.6922066825281887,"Matched on bakery cuisine, Medium budget in India with rating 4.9"
Urbanologi,189,Inner City,28.031863,-26.207091,tapas,700,No,No,No,4,4.9,194,South Africa,tapas,High,0.020068273507810076,0.9800000000000001,0.6920204820523431,"Matched on tapas cuisine, High budget in South Africa with rating 4.9"
Mainland China Restaurant,166,Doha,51.50505289,25.28599626,chinese,250,No,No,No,4,4.9,182,Qatar,chinese,Low,0.01882693700217234,0.9800000000000001,0.6916480811006518,"Matched on chinese cuisine, Low budget in Qatar with rating 4.9"
Solita,215,Manchester,-2.237333333,53.4835,"american, burger, grill",50,No,No,No,3,4.9,162,United Kingdom,american,Low,0.016758042826109446,0.9800000000000001,0.6910274128478329,"Matched on american cuisine, Low budget in United Kingdom with rating 4.9"
Bao,215,London,-0.136576,51.513225,"taiwanese, street food",20,No,No,No,2,4.9,161,United Kingdom,taiwanese,Low,0.0166545981173063,0.9800000000000001,0.690996379435192,"Matched on taiwanese cuisine, Low budget in United Kingdom with rating 4.9"
Fusilli Reasons,1,Chennai,80.24851944,13.08187778,italian,350,No,No,No,1,4.6,1510,India,italian,Medium,0.15620151029274854,0.9199999999999999,0.6908604530878245,"Matched on italian cuisine, Medium budget in India with rating 4.6"
Big Yellow Door,1,New Delhi,77.1675239,28.5879119,"cafe, fast food, italian",600,No,No,No,2,4.2,3311,India,cafe,Medium,0.3425054308472122,0.8400000000000001,0.6907516292541637,"Matched on cafe cuisine, Medium budget in India with rating 4.2"
Depot Eatery and Oyster Bar,148,Auckland,174.762527,-36.848988,"seafood, kiwi",90,No,No,No,4,4.8,598,New Zealand,seafood,Low,0.06185993586428054,0.96,0.6905579807592841,"Matched on seafood cuisine, Low budget in New Zealand with rating 4.8"
Gaga Manjero,208,Ankara,32.8698,39.89823889,world cuisine,80,No,No,No,3,4.9,95,Turkey,world cuisine,Low,0.009827247336298748,0.9800000000000001,0.6889481742008897,"Matched on world cuisine cuisine, Low budget in Turkey with rating 4.9"
Gemelli Cucina Bar,189,Sandton,28.02302878,-26.05198229,"contemporary, italian",450,No,No,No,4,4.8,542,South Africa,contemporary,Medium,0.05606703217130444,0.96,0.6888201096513913,"Matched on contemporary cuisine, Medium budget in South Africa with rating 4.8"
Locavore,162,Pasig City,121.056532,14.572041,filipino,1100,Yes,No,No,3,4.8,532,Phillipines,filipino,High,0.05503258508327299,0.96,0.6885097755249818,"Matched on filipino cuisine, High budget in Phillipines with rating 4.8"
Taco Bus,216,Tampa Bay,-82.449897,27.995964,"mexican, vegetarian",10,No,No,No,1,4.5,1868,United States,mexican,Low,0.19323471604427434,0.9,0.6879704148132824,"Matched on mexican cuisine, Low budget in United States with rating 4.5"
Dishoom,215,London,-0.127164,51.512417,"indian, north indian, curry, cafe",35,No,No,No,2,4.7,964,United Kingdom,indian,Low,0.0997206992862315,0.9400000000000001,0.6879162097858695,"Matched on indian cuisine, Low budget in United Kingdom with rating 4.7"
Coffee Cup,1,Secunderabad,78.5521107,17.4832159,"cafe, continental",800,Yes,No,No,2,4.6,1408,India,cafe,High,0.14565014999482775,0.9199999999999999,0.6876950449984482,"Matched on cafe cuisine, High budget in India with rating 4.6"
Garota de Ipanema,30,Rio de Janeiro,-43.203,-22.98533333,"brazilian, bar food",120,No,No,No,4,4.9,49,Brazil,brazilian,Low,0.005068790731354091,0.9800000000000001,0.6875206372194063,"Matched on brazilian cuisine, Low budget in Brazil with rating 4.9"
Braseiro da Gï¿½ï¿½vea,30,Rio de Janeiro,-43.227042,-22.973507,"brazilian, bar food",100,No,No,No,4,4.9,40,Brazil,brazilian,Low,0.0041377883521257885,0.9800000000000001,0.6872413365056378,"Matched on brazilian cuisine, Low budget in Brazil with rating 4.9"
Coco Bambu,30,Brasï¿½_lia,-47.8685,-15.819,international,230,No,No,No,4,4.9,30,Brazil,international,Low,0.0031033412640943414,0.9800000000000001,0.6869310023792283,"Matched on international cuisine, Low budget in Brazil with rating 4.9"
Last Resort Grill,216,Athens,-83.378273,33.957999,"american, southern, southwestern",40,No,No,No,3,4.5,1821,United States,american,Low,0.18837281473052653,0.9,0.6865118444191579,"Matched on american cuisine, Low budget in United States with rating 4.5"
Rajasthan Al Malaki,214,Sharjah,55.45195531,25.2887722,"indian, north indian",60,No,No,No,3,4.8,459,UAE,indian,Low,0.047481121340643424,0.96,0.686244336402193,"Matched on indian cuisine, Low budget in UAE with rating 4.8"
Green Truck Pub,216,Savannah,-81.096647,32.052858,burger,40,No,No,No,3,4.7,906,United States,burger,Low,0.09372090617564911,0.9400000000000001,0.6861162718526947,"Matched on burger cuisine, Low budget in United States with rating 4.7"
Rumba Island Bar & Grill,216,Tampa Bay,-82.762624,27.96076,"bbq, caribbean, seafood",25,No,No,No,2,4.6,1321,United States,bbq,Low,0.13665046032895417,0.9199999999999999,0.6849951380986862,"Matched on bbq cuisine, Low budget in United States with rating 4.6"
Burger Factory,1,Goa,73.74360556,15.58565833,fast food,1100,No,No,No,4,4.8,415,India,fast food,High,0.04292955415330506,0.96,0.6848788662459915,"Matched on fast food cuisine, High budget in India with rating 4.8"
Hakkasan,215,London,-0.144861,51.510342,"chinese, dim sum",120,Yes,No,No,4,4.8,395,United Kingdom,chinese,Low,0.04086065997724216,0.96,0.6842581979931726,"Matched on chinese cuisine, Low budget in United Kingdom with rating 4.8"
Cafï¿½ï¿½ Tu Tu Tango,216,Orlando,-81.469986,28.440344,"new american, tapas",40,No,No,No,3,4.6,1293,United States,new american,Low,0.13375400848246613,0.9199999999999999,0.6841262025447398,"Matched on new american cuisine, Low budget in United States with rating 4.6"
Hawkers Asian Street Fare,216,Orlando,-81.364347,28.560505,"asian, thai",35,No,No,No,3,4.6,1293,United States,asian,Low,0.13375400848246613,0.9199999999999999,0.6841262025447398,"Matched on asian cuisine, Low budget in United States with rating 4.6"
Original Georgios Authentic Greek Food,216,Pensacola,-87.4218962,30.3199824,greek,10,No,No,No,1,4.7,816,United States,greek,Low,0.0844108823833661,0.9400000000000001,0.6833232647150098,"Matched on greek cuisine, Low budget in United States with rating 4.7"
The All American Diner,1,New Delhi,77.2258757,28.5887789,"american, fast food",1000,No,No,No,3,4.1,3495,India,american,High,0.3615392572669908,0.82,0.6824617771800972,"Matched on american cuisine, High budget in India with rating 4.1"
Jarryds,189,Cape Town,18.381997,-33.921453,"cafe, burger",230,No,No,No,3,4.8,319,South Africa,cafe,Low,0.032998862108203166,0.96,0.6818996586324608,"Matched on cafe cuisine, Low budget in South Africa with rating 4.8"
India Restaurant,1,Kolkata,88.3223365,22.5389989,"biryani, north indian, chinese, mughlai",800,Yes,Yes,No,2,4.6,1219,India,biryani,High,0.12609910003103342,0.9199999999999999,0.6818297300093099,"Matched on biryani cuisine, High budget in India with rating 4.6"
Le Petit Souffle,162,Makati City,121.027535,14.565443,"french, japanese, desserts",1100,Yes,No,No,3,4.8,314,Phillipines,french,High,0.03248163856418744,0.96,0.6817444915692562,"Matched on french cuisine, High budget in Phillipines with rating 4.8"
Kona Brewing Company,216,Rest of Hawaii,-155.997362,19.642752,"american, pizza, bar food",35,No,No,No,3,4.7,764,United States,american,Low,0.07903175752560257,0.9400000000000001,0.6817095272576807,"Matched on american cuisine, Low budget in United States with rating 4.7"
Andhra Bhavan,1,New Delhi,77.225522,28.6171019,"south indian, andhra",200,No,No,No,1,4.2,3010,India,south indian,Low,0.3113685734974656,0.8400000000000001,0.6814105720492396,"Matched on south indian cuisine, Low budget in India with rating 4.2"
Silantro Fil-Mex,162,Quezon City,121.075419,14.649503,"filipino, mexican",800,No,No,No,3,4.8,294,Phillipines,filipino,High,0.03041274438812455,0.96,0.6811238233164373,"Matched on filipino cuisine, High budget in Phillipines with rating 4.8"
Cafeteria & Co.,1,New Delhi,77.2043384,28.6944707,"continental, mexican",900,No,No,No,2,4.6,1136,India,continental,High,0.1175131892003724,0.9199999999999999,0.6792539567601116,"Matched on continental cuisine, High budget in India with rating 4.6"
The Ravenous Pig,216,Orlando,-81.356024,28.593297,pub food,40,No,No,No,3,4.4,1998,United States,pub food,Low,0.20668252818868316,0.8800000000000001,0.6780047584566049,"Matched on pub food cuisine, Low budget in United States with rating 4.4"
Yard House,216,Rest of Hawaii,-157.8312476,21.2794952,"american, asian, burger",40,No,No,No,3,4.6,1078,United States,american,Low,0.11151339608979001,0.9199999999999999,0.6774540188269369,"Matched on american cuisine, Low budget in United States with rating 4.6"
Spezia Bistro,1,New Delhi,77.2041413,28.694839,"cafe, continental, chinese, italian",900,Yes,Yes,No,2,4.6,1071,India,cafe,High,0.11078928312816799,0.9199999999999999,0.6772367849384503,"Matched on cafe cuisine, High budget in India with rating 4.6"
Giapo,148,Auckland,174.768851,-36.845553,"ice cream, desserts",20,No,No,No,1,4.7,617,New Zealand,ice cream,Low,0.0638253853315403,0.9400000000000001,0.6771476155994621,"Matched on ice cream cuisine, Low budget in New Zealand with rating 4.7"
Barbeque Nation,1,Chandigarh,76.8051917,30.7257045,"north indian, chinese",1300,No,No,No,3,4.5,1450,India,north indian,High,0.14999482776455983,0.9,0.674998448329368,"Matched on north indian cuisine, High budget in India with rating 4.5"
Skye - Hotel Unique,30,Sï¿½ï¿½o Paulo,-46.666851,-23.581688,"beverages, international",300,No,No,No,4,4.8,59,Brazil,beverages,Medium,0.006103237819385539,0.96,0.6738309713458156,"Matched on beverages cuisine, Medium budget in Brazil with rating 4.8"
Hard Rock Cafe,214,Dubai,55.35147775,25.22399154,"american, burger",300,No,No,No,4,4.5,1388,UAE,american,Medium,0.14358125581876488,0.9,0.6730743767456294,"Matched on american cuisine, Medium budget in UAE with rating 4.5"
Confeitaria Colombo,30,Rio de Janeiro,-43.178826,-22.905293,"desserts, cafe",100,No,No,No,4,4.8,29,Brazil,desserts,Low,0.002999896555291197,0.96,0.6728999689665873,"Matched on desserts cuisine, Low budget in Brazil with rating 4.8"
Naturals Ice Cream,1,New Delhi,77.1195942,28.647233,ice cream,150,No,Yes,No,1,4.7,474,India,ice cream,Low,0.049032791972690594,0.9400000000000001,0.6727098375918072,"Matched on ice cream cuisine, Low budget in India with rating 4.7"
TT Burger,30,Rio de Janeiro,-43.191,-22.98683333,burger,60,No,No,No,3,4.8,19,Brazil,burger,Low,0.0019654494672597497,0.96,0.6725896348401779,"Matched on burger cuisine, Low budget in Brazil with rating 4.8"
Sr. Sol 1,216,Athens,-83.4293,33.9652,mexican,10,No,No,No,1,4.6,917,United States,mexican,Low,0.09485879797248371,0.9199999999999999,0.672457639391745,"Matched on mexican cuisine, Low budget in United States with rating 4.6"
The Olde Pink House,216,Savannah,-81.0897,32.0798,"american, seafood, southern",70,No,No,No,4,4.4,1803,United States,american,Low,0.18651080997206992,0.8800000000000001,0.671953242991621,"Matched on american cuisine, Low budget in United States with rating 4.4"
Licorish Bistro,189,Sandton,28.021,-26.05233333,"european, south african",545,No,No,No,4,4.6,892,South Africa,european,Medium,0.09227268025240509,0.9199999999999999,0.6716818040757214,"Matched on european cuisine, Medium budget in South Africa with rating 4.6"
Zoeys Pizzeria,216,Cedar Rapids/Iowa City,-91.5995,42.0331,"pizza, sandwich",25,No,No,No,2,4.7,433,United States,pizza,Low,0.04479155891176166,0.9400000000000001,0.6714374676735285,"Matched on pizza cuisine, Low budget in United States with rating 4.7"
Leopold's Ice Cream,216,Savannah,-81.0894,32.0785,"desserts, sandwich, ice cream",10,No,No,No,1,4.6,880,United States,desserts,Low,0.09103134374676736,0.9199999999999999,0.6713094031240301,"Matched on desserts cuisine, Low budget in United States with rating 4.6"
6 Ballygunge Place,1,Kolkata,88.36862817,22.52789315,bengali,1000,Yes,Yes,No,3,4.4,1778,India,bengali,High,0.18392469225199132,0.8800000000000001,0.6711774076755974,"Matched on bengali cuisine, High budget in India with rating 4.4"
Eight - The Langham Hotel,148,Auckland,174.764078,-36.857474,european,190,No,No,No,4,4.7,412,New Zealand,european,Low,0.042619220026895624,0.9400000000000001,0.6707857660080687,"Matched on european cuisine, Low budget in New Zealand with rating 4.7"
Columbia Restaurant,216,Tampa Bay,-82.4351499,27.959884,"cuban, spanish",40,No,No,No,3,4.4,1746,United States,cuban,Low,0.18061446157029068,0.8800000000000001,0.6701843384710872,"Matched on cuban cuisine, Low budget in United States with rating 4.4"
