Restaurant Name,Country Code,City,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes,Country,Primary Cuisine,Cost Category
Pizza ï¿½ï¿½ Bessa,30,Brasï¿½_lia,-47.91566667,-15.83116667,pizza,50,No,No,No,2,3.2,11,Brazil,pizza,Low
Sushi Loko,30,Brasï¿½_lia,-47.91566667,-15.831,japanese,80,No,No,No,3,3.1,10,Brazil,japanese,Low
Beirute,30,Brasï¿½_lia,-47.9075,-15.82,arabian,90,No,No,No,3,3.7,8,Brazil,arabian,Low
New Koto,30,Brasï¿½_lia,-47.91016667,-15.82733333,japanese,200,No,No,No,4,3.7,5,Brazil,japanese,Low
Sandubas Cafï¿½ï¿½,30,Brasï¿½_lia,-47.89016667,-15.797,"brazilian, cafe",30,No,No,No,1,0.0,2,Brazil,brazilian,Low
Villa Tevere,30,Brasï¿½_lia,-47.92366667,-15.83133333,italian,150,No,No,No,4,4.1,12,Brazil,italian,Low
Rovereto,30,Brasï¿½_lia,-48.019,-15.83716667,pizza,100,No,No,No,4,3.1,9,Brazil,pizza,Low
Buena Carne,30,Brasï¿½_lia,-48.01909167,-15.839775,"bar food, brazilian",60,No,No,No,3,3.6,9,Brazil,bar food,Low
Taco Pep,30,Brasï¿½_lia,-48.01666667,-15.83483333,"mexican, grill",100,No,No,No,4,4.3,29,Brazil,mexican,Low
Coco Bambu,30,Brasï¿½_lia,-47.889,-15.7865,international,230,No,No,No,4,4.2,17,Brazil,international,Low
Taypï¿½ï¿½,30,Brasï¿½_lia,-47.872359,-15.860621,"peruvian, latin american",100,No,No,No,4,3.6,5,Brazil,peruvian,Low
Outback Steakhouse,30,Brasï¿½_lia,-47.95628333,-15.83451389,"american, grill",150,No,No,No,4,4.0,10,Brazil,american,Low
Manzuï¿½ï¿½,30,Brasï¿½_lia,-47.87283333,-15.82566667,seafood,240,No,No,No,4,3.2,6,Brazil,seafood,Low
Coco Bambu,30,Brasï¿½_lia,-47.8685,-15.819,international,230,No,No,No,4,4.9,30,Brazil,international,Low
Gero,30,Brasï¿½_lia,-47.885812,-15.720118,italian,350,No,No,No,4,3.3,8,Brazil,italian,Medium
Brazilian American Burgers,30,Brasï¿½_lia,-47.92102778,-15.79753056,"american, burger",50,No,No,No,2,3.6,9,Brazil,american,Low
Pesqueiro Eco Gourmet,30,Rio de Janeiro,-43.377,-23.0115,"seafood, bar food, brazilian",140,No,No,No,4,4.0,7,Brazil,seafood,Low
Confeitaria Colombo,30,Rio de Janeiro,-43.178826,-22.905293,"desserts, cafe",100,No,No,No,4,4.8,29,Brazil,desserts,Low
Bibi,30,Rio de Janeiro,-43.18669167,-22.97207222,"juices, healthy food",60,No,No,No,3,4.7,24,Brazil,juices,Low
Cervantes,30,Rio de Janeiro,-43.17583333,-22.96216667,"beverages, bar food, fast food",90,No,No,No,3,4.5,29,Brazil,beverages,Low
Amir,30,Rio de Janeiro,-43.176,-22.96516667,lebanese,170,No,No,No,4,4.2,11,Brazil,lebanese,Low
TT Burger,30,Rio de Janeiro,-43.191,-22.98683333,burger,60,No,No,No,3,4.8,19,Brazil,burger,Low
Braseiro da Gï¿½ï¿½vea,30,Rio de Janeiro,-43.227042,-22.973507,"brazilian, bar food",100,No,No,No,4,4.9,40,Brazil,brazilian,Low
Balada Mix,30,Rio de Janeiro,-43.211425,-22.98520833,"brazilian, healthy food, juices, pizza",90,No,No,No,3,4.6,21,Brazil,brazilian,Low
Garota de Ipanema,30,Rio de Janeiro,-43.203,-22.98533333,"brazilian, bar food",120,No,No,No,4,4.9,49,Brazil,brazilian,Low
Zazï¿½ï¿½ Bistrï¿½ï¿½ Tropical,30,Rio de Janeiro,-43.20520833,-22.98531944,brazilian,170,No,No,No,4,4.6,21,Brazil,brazilian,Low
Filï¿½ï¿½ de Ouro,30,Rio de Janeiro,-43.219563,-22.966647,brazilian,90,No,No,No,3,4.3,14,Brazil,brazilian,Low
D.O.C Ristorante,30,Rio de Janeiro,-43.34879167,-22.99991111,italian,150,No,No,No,4,4.0,5,Brazil,italian,Low
Sushi Leblon,30,Rio de Janeiro,-43.227,-22.98416667,japanese,250,No,No,No,4,4.6,25,Brazil,japanese,Low
Talho Capixaba,30,Rio de Janeiro,-43.22566667,-22.98516667,"bakery, sandwich, brazilian",120,No,No,No,4,4.4,13,Brazil,bakery,Low
Leme Light,30,Rio de Janeiro,-43.17279167,-22.963925,brazilian,40,No,No,No,2,4.2,7,Brazil,brazilian,Low
Shirley,30,Rio de Janeiro,-43.17126389,-22.96337222,"brazilian, seafood",250,No,No,No,4,4.2,8,Brazil,brazilian,Low
Quiosque Chopp Brahma,30,Rio de Janeiro,-43.341164,-22.870413,"bar food, brazilian",70,No,No,No,3,0.0,1,Brazil,bar food,Low
Aprazï¿½_vel,30,Rio de Janeiro,-43.18736944,-22.92481389,brazilian,300,No,No,No,4,4.7,44,Brazil,brazilian,Medium
Aconchego Carioca,30,Rio de Janeiro,-43.21551111,-22.91370833,"brazilian, bar food",85,No,No,No,3,4.6,24,Brazil,brazilian,Low
Garota de Ipanema,30,Rio de Janeiro,-43.16266667,-22.94783333,"brazilian, bar food",80,No,No,No,3,4.3,10,Brazil,brazilian,Low
Cantina Famiglia Mancini,30,Sï¿½ï¿½o Paulo,-46.64516667,-23.55066667,"italian, pizza",250,No,No,No,4,4.5,49,Brazil,italian,Low
Templo da Carne - Marcos Bassi,30,Sï¿½ï¿½o Paulo,-46.64633333,-23.559,"steak, bbq",250,No,No,No,4,4.4,17,Brazil,steak,Low
Gopala Hari,30,Sï¿½ï¿½o Paulo,-46.65866667,-23.55616667,indian,70,No,No,No,3,3.1,5,Brazil,indian,Low
Jiquitaia,30,Sï¿½ï¿½o Paulo,-46.657523,-23.55671,brazilian,100,No,No,No,4,4.1,15,Brazil,brazilian,Low
Skye - Hotel Unique,30,Sï¿½ï¿½o Paulo,-46.666851,-23.581688,"beverages, international",300,No,No,No,4,4.8,59,Brazil,beverages,Medium
Les 3 Brasseurs,30,Sï¿½ï¿½o Paulo,-46.67511,-23.582135,"french, brazilian, beverages",120,No,No,No,4,4.6,30,Brazil,french,Low
Red Steak & Burger,30,Sï¿½ï¿½o Paulo,-46.683888,-23.585324,"brazilian, grill",75,No,No,No,3,3.9,5,Brazil,brazilian,Low
Cantinho da Gula,30,Sï¿½ï¿½o Paulo,-46.67566667,-23.581,brazilian,55,No,No,No,2,0.0,0,Brazil,brazilian,Low
Paris 6 Classique,30,Sï¿½ï¿½o Paulo,-46.666041,-23.561568,french,200,No,No,No,4,3.4,73,Brazil,french,Low
Kawa Sushi,30,Sï¿½ï¿½o Paulo,-46.657418,-23.571638,"sushi, japanese",120,No,No,No,4,3.5,9,Brazil,sushi,Low
A Figueira Rubaiyat,30,Sï¿½ï¿½o Paulo,-46.66983333,-23.5655,"bbq, grill, brazilian",300,No,No,No,4,4.3,39,Brazil,bbq,Medium
Kinoshita,30,Sï¿½ï¿½o Paulo,-46.67133333,-23.59233333,sushi,230,No,No,No,4,3.9,12,Brazil,sushi,Low
Meats,30,Sï¿½ï¿½o Paulo,-46.68133333,-23.56483333,"gourmet fast food, burger",120,No,No,No,4,4.3,68,Brazil,gourmet fast food,Low
Paribar,30,Sï¿½ï¿½o Paulo,-46.64159444,-23.54664167,"brazilian, italian",150,No,No,No,4,4.3,46,Brazil,brazilian,Low
Terraï¿½_o Itï¿½ï¿½lia,30,Sï¿½ï¿½o Paulo,-46.643425,-23.545163,italian,400,No,No,No,4,4.4,37,Brazil,italian,Medium
Divino Fogï¿½ï¿½o,30,Sï¿½ï¿½o Paulo,-46.63716667,-23.5995,"brazilian, mineira",65,No,No,No,3,0.0,2,Brazil,brazilian,Low
Super Grill,30,Sï¿½ï¿½o Paulo,-46.698574,-23.622925,brazilian,50,No,No,No,2,0.0,2,Brazil,brazilian,Low
Esquina Mocotï¿½_,30,Sï¿½ï¿½o Paulo,-46.581672,-23.486535,"brazilian, north eastern",100,No,No,No,4,4.4,22,Brazil,brazilian,Low
Veloso,30,Sï¿½ï¿½o Paulo,-46.63566667,-23.58516667,"brazilian, bar food, beverages",70,No,No,No,3,4.6,58,Brazil,brazilian,Low
Sainte Marie Gastronomia,30,Sï¿½ï¿½o Paulo,-46.746958,-23.609207,"lebanese, arabian",120,No,No,No,4,4.1,11,Brazil,lebanese,Low
Austin's BBQ and Oyster Bar,216,Albany,-84.221535,31.610387,"bbq, burger, seafood",25,No,No,No,2,3.3,35,United States,bbq,Low
BJ's Country Buffet,216,Albany,-84.207095,31.608743,"american, bbq",10,No,No,No,1,3.3,25,United States,american,Low
Elements Coffee Co - Northwest,216,Albany,-84.206944,31.622412,"coffee and tea, sandwich",10,No,No,No,1,3.4,26,United States,coffee and tea,Low
Chick-fil-A,216,Albany,-84.2193,31.616,fast food,10,No,No,No,1,3.5,67,United States,fast food,Low
Guang Zhou Chinese Restaurant,216,Albany,-84.2091458,31.6155186,"asian, chinese, vegetarian",10,No,No,No,1,3.9,141,United States,asian,Low
Harvest Moon,216,Albany,-84.205718,31.604905,"pizza, bar food, sandwich",25,No,No,No,2,3.7,147,United States,pizza,Low
Henry Campbell's Steakhouse,216,Albany,-84.223278,31.612121,"steak, tapas, bar food",70,No,No,No,4,3.5,51,United States,steak,Low
Hong Kong Cafe,216,Albany,-84.2191,31.6156,"chinese, seafood, vegetarian",25,No,No,No,2,3.6,88,United States,chinese,Low
House of China Restaurant II,216,Albany,-84.212,31.6104,chinese,10,No,No,No,1,3.8,153,United States,chinese,Low
Locos Grill & Pub,216,Albany,-84.2228,31.6077,"american, burger, sandwich",25,No,No,No,2,3.5,57,United States,american,Low
Longhorn Steakhouse,216,Albany,-84.2229,31.6185,"american, steak",25,No,No,No,2,3.5,58,United States,american,Low
Mikata Japanese Steakhouse,216,Albany,-84.2164,31.6137,"japanese, steak, sushi",40,No,No,No,3,3.6,115,United States,japanese,Low
Shogun Japanese Steak House,216,Albany,-84.2233,31.6118,"japanese, steak, sushi",40,No,No,No,3,3.5,51,United States,japanese,Low
The Catch Seafood Room & Oyster Bar,216,Albany,-84.205025,31.605882,"seafood, tapas, bar food",40,No,No,No,3,3.8,250,United States,seafood,Low
Villa Gargano,216,Albany,-84.1757,31.5985,"italian, pizza",10,No,No,No,1,3.7,117,United States,italian,Low
3 Squares Diner,216,Albany,-83.8389,31.5308,"american, breakfast, diner",10,No,No,No,1,3.4,20,United States,american,Low
Whitebull Hotel,14,Armidale,151.6688792,-30.5147169,"bar food, steak",20,No,No,No,2,3.5,25,Australia,bar food,Low
Last Resort Grill,216,Athens,-83.378273,33.957999,"american, southern, southwestern",40,No,No,No,3,4.5,1821,United States,american,Low
Mama's Boy Restaurant,216,Athens,-83.3654,33.9535,southern,10,No,No,No,1,4.5,849,United States,southern,Low
Sr. Sol 1,216,Athens,-83.4293,33.9652,mexican,10,No,No,No,1,4.6,917,United States,mexican,Low
Choo Choo Eastside,216,Athens,-83.3389,33.9259,"japanese, korean",10,No,No,No,1,3.9,439,United States,japanese,Low
The Grill,216,Athens,-83.375523,33.958198,"breakfast, burger, sandwich",10,No,No,No,1,3.7,289,United States,breakfast,Low
Big City Bread Cafe,216,Athens,-83.384004,33.959392,"breakfast, sandwich",10,No,No,No,1,4.3,558,United States,breakfast,Low
Clocked,216,Athens,-83.3797,33.9584,"american, burger, sandwich",10,No,No,No,1,4.2,613,United States,american,Low
DePalma's Italian Cafe - Downtown,216,Athens,-83.373596,33.958112,"american, italian, pizza",25,No,No,No,2,4.0,353,United States,american,Low
DePalma's Italian Cafe - East Side,216,Athens,-83.33995,33.924275,"american, italian, pizza",25,No,No,No,2,4.1,387,United States,american,Low
Five & Ten,216,Athens,-83.3872482,33.9415545,american,40,No,No,No,3,4.3,755,United States,american,Low
Grit,216,Athens,-83.381625,33.960112,"international, southern, vegetarian",10,No,No,No,1,4.2,800,United States,international,Low
Ike & Jane,216,Athens,-83.400887,33.963296,sandwich,10,No,No,No,1,4.1,350,United States,sandwich,Low
La Dolce Vita Ristorante,216,Athens,-83.4075,33.9584,italian,40,No,No,No,3,4.1,464,United States,italian,Low
Shokitini,216,Athens,-83.379251,33.957503,"asian, japanese, sushi",25,No,No,No,2,4.2,550,United States,asian,Low
Taqueria Del Sol,216,Athens,-83.383605,33.960571,"mexican, spanish",10,No,No,No,1,4.1,543,United States,mexican,Low
The National,216,Athens,-83.37967,33.959468,"international, southern",40,No,No,No,3,4.1,465,United States,international,Low
The Royal Peasant,216,Athens,-83.38728,33.937502,bar food,10,No,No,No,1,4.4,546,United States,bar food,Low
Transmetropolitan,216,Athens,-83.3764,33.9584,"italian, pizza, sandwich",10,No,No,No,1,4.4,1098,United States,italian,Low
Trappeze Pub,216,Athens,-83.378881,33.958363,"burger, bar food",25,No,No,No,2,4.2,579,United States,burger,Low
Viva! Argentine Cuisine,216,Athens,-83.3828224,33.9600227,"desserts, latin american, argentine",10,No,No,No,1,4.1,374,United States,desserts,Low
Miyabi Kyoto Japanese Steak House,216,Augusta,-82.0865,33.4721,"chinese, steak",40,No,No,No,3,4.6,717,United States,chinese,Low
Rae's Coastal Cafe,216,Augusta,-82.0698,33.4791,"american, caribbean, seafood",40,No,No,No,3,4.9,548,United States,american,Low
The Bee's Knees,216,Augusta,-81.97,33.4765,"international, tapas, vegetarian",25,No,No,No,2,4.5,631,United States,international,Low
Boll Weevil Cafe,216,Augusta,-81.9684,33.474,"desserts, sandwich, southern",10,No,No,No,1,3.9,372,United States,desserts,Low
Farmhaus Burger,216,Augusta,-81.973006,33.477444,"american, burger",25,No,No,No,2,3.9,201,United States,american,Low
Manuel's Bread Cafe,216,Augusta,-81.965571,33.481779,"breakfast, french",40,No,No,No,3,3.8,332,United States,breakfast,Low
Sconyers Bar B Que,216,Augusta,-82.0327,33.4086,bbq,25,No,No,No,2,3.5,304,United States,bbq,Low
Frog Hollow Tavern,216,Augusta,-81.974944,33.478231,american,40,No,No,No,3,4.3,368,United States,american,Low
Giuseppe's Pizza & Italian Specialities,216,Augusta,-82.096,33.4827,"desserts, italian, pizza",25,No,No,No,2,4.1,430,United States,desserts,Low
Mellow Mushroom,216,Augusta,-81.9721,33.4778,"italian, pizza, sandwich",25,No,No,No,2,4.4,433,United States,italian,Low
Nacho Mamas Burritos,216,Augusta,-81.9694,33.4764,mexican,10,No,No,No,1,4.0,380,United States,mexican,Low
Rhinehart's Oyster Bar,216,Augusta,-82.0505,33.5133,"bar food, sandwich, seafood",25,No,No,No,2,4.0,456,United States,bar food,Low
Takosushi,216,Augusta,-82.0301,33.4848,"mexican, southwestern, sushi",40,No,No,No,3,4.2,647,United States,mexican,Low
The Chop House,216,Augusta,-82.080788,33.467201,steak,40,No,No,No,3,4.0,360,United States,steak,Low
The Taj of India,216,Augusta,-82.0805493,33.5375868,indian,25,No,No,No,2,4.0,227,United States,indian,Low
Augsburg Haus,216,Augusta,-82.143793,33.544342,german,25,No,No,No,2,3.9,290,United States,german,Low
Pho Bac,216,Augusta,-82.126161,33.532249,vietnamese,10,No,No,No,1,4.1,270,United States,vietnamese,Low
Rhinehart's Oyster Bar,216,Augusta,-82.141284,33.521291,"burger, seafood",25,No,No,No,2,4.0,326,United States,burger,Low
Thai Kitchen,216,Augusta,-82.1328,33.5406,thai,35,No,No,No,3,4.3,317,United States,thai,Low
El Kiosco Mexican Restaurant,216,Augusta,-82.1997,33.4574,mexican,10,No,No,No,1,4.2,300,United States,mexican,Low
Taste of Balingup,14,Balingup,115.9844924,-33.7845269,modern australian,20,No,No,No,2,3.2,21,Australia,modern australian,Low
Bridge Road Brewers,14,Beechworth,146.685852,-36.360439,"pizza, bar food",20,No,No,No,2,4.6,237,Australia,pizza,Low
Bardenay,216,Boise,-116.2019,43.6138,"american, bar food",25,No,No,No,2,4.5,879,United States,american,Low
Flatbread Neapolitan Pizzeria,216,Boise,-116.203466,43.616068,"italian, pizza",25,No,No,No,2,4.6,615,United States,italian,Low
Goldy's Breakfast Bistro,216,Boise,-116.2023,43.6149,"breakfast, sandwich",25,No,No,No,2,4.5,879,United States,breakfast,Low
Chandlers Steakhouse,216,Boise,-116.2064,43.6157,"american, seafood, steak",70,No,No,No,4,3.9,379,United States,american,Low
Bar Gernika Basque Pub & Eatery,216,Boise,-116.2031,43.614,"european, spanish",10,No,No,No,1,4.3,303,United States,european,Low
Barbacoa Restaurant,216,Boise,-116.185034,43.597235,"latin american, steak",70,No,No,No,4,4.1,538,United States,latin american,Low
Big Jud's,216,Boise,-116.2062,43.5945,"american, burger, sandwich",10,No,No,No,1,4.2,334,United States,american,Low
Bittercreek Ale House,216,Boise,-116.2022,43.6167,"american, bar food",25,No,No,No,2,4.3,555,United States,american,Low
Boise Fry Company,216,Boise,-116.193409,43.610279,"american, burger",10,No,No,No,1,4.4,823,United States,american,Low
Flying Pie Pizzaria,216,Boise,-116.2625,43.6192,pizza,25,No,No,No,2,4.1,550,United States,pizza,Low
Fork,216,Boise,-116.202845,43.616295,"american, burger",25,No,No,No,2,4.4,650,United States,american,Low
Guido's Original New York Style Pizza,216,Boise,-116.199,43.615,pizza,10,No,No,No,1,4.3,410,United States,pizza,Low
Los Beto's,216,Boise,-116.2463,43.6191,mexican,10,No,No,No,1,4.4,660,United States,mexican,Low
Lucianos Italian Restaurant,216,Boise,-116.245165,43.6051379,"italian, seafood, vegetarian",25,No,No,No,2,4.4,360,United States,italian,Low
Mai Thai Restaurant,216,Boise,-116.2021,43.6162,"sushi, thai",40,No,No,No,3,4.0,340,United States,sushi,Low
Shige Japanese Cuisine,216,Boise,-116.2031,43.6156,"japanese, sushi, teriyaki",25,No,No,No,2,4.1,393,United States,japanese,Low
The Egg Factory,216,Boise,-116.281809,43.619274,breakfast,10,No,No,No,1,4.3,422,United States,breakfast,Low
Tucanos,216,Boise,-116.280614,43.591706,brazilian,40,No,No,No,3,4.0,435,United States,brazilian,Low
Texas Roadhouse,216,Boise,-116.347304,43.619108,"american, bbq, steak",25,No,No,No,2,4.0,369,United States,american,Low
Brick 29,216,Boise,-116.5629,43.5777,american,40,No,No,No,3,4.4,487,United States,american,Low
Winifreds,216,Cedar Rapids/Iowa City,-91.6336,42.0179,"american, mediterranean, seafood",40,No,No,No,3,3.7,98,United States,american,Low
Biaggi's Ristorante Italiano,216,Cedar Rapids/Iowa City,-91.6327,42.0281,"italian, pizza",40,No,No,No,3,4.1,365,United States,italian,Low
El Super Burrito,216,Cedar Rapids/Iowa City,-91.7148,41.9748,mexican,10,No,No,No,1,4.1,190,United States,mexican,Low
Granite City Food & Brewery,216,Cedar Rapids/Iowa City,-91.6224,42.0249,"american, breakfast, burger",40,No,No,No,3,4.1,429,United States,american,Low
Irish Democrat,216,Cedar Rapids/Iowa City,-91.6347,42.01,"american, bbq, burger",25,No,No,No,2,4.4,430,United States,american,Low
Taste of India,216,Cedar Rapids/Iowa City,-91.6499622,42.0215347,indian,25,No,No,No,2,4.2,186,United States,indian,Low
Thai Moon Restaurant,216,Cedar Rapids/Iowa City,-91.7266,41.9639,"chinese, sushi, thai",10,No,No,No,1,4.2,220,United States,chinese,Low
Ting's Red Lantern,216,Cedar Rapids/Iowa City,-91.6394,42.0468,chinese,10,No,No,No,1,4.2,347,United States,chinese,Low
Monica's,216,Cedar Rapids/Iowa City,-91.569767,41.670466,"american, italian, pizza",25,No,No,No,2,3.8,161,United States,american,Low
Exotic India,216,Cedar Rapids/Iowa City,-91.5687,41.6685,indian,25,No,No,No,2,4.1,160,United States,indian,Low
Shorts Burger and Shine,216,Cedar Rapids/Iowa City,-91.534424,41.660982,burger,10,No,No,No,1,4.9,820,United States,burger,Low
The Hamburg Inn No. 2 Inc.,216,Cedar Rapids/Iowa City,-91.531414,41.663849,"american, breakfast, burger",10,No,No,No,1,4.5,488,United States,american,Low
Bluebird Diner,216,Cedar Rapids/Iowa City,-91.531093,41.663751,"breakfast, diner",25,No,No,No,2,3.6,253,United States,breakfast,Low
Graze,216,Cedar Rapids/Iowa City,-91.534302,41.658691,"american, international, sushi",40,No,No,No,3,3.8,220,United States,american,Low
A & A Pagliai's Pizza,216,Cedar Rapids/Iowa City,-91.5314,41.6648,pizza,25,No,No,No,2,4.3,485,United States,pizza,Low
Atlas World Grill,216,Cedar Rapids/Iowa City,-91.5341,41.661,international,40,No,No,No,3,4.3,428,United States,international,Low
BlackStone,216,Cedar Rapids/Iowa City,-91.482165,41.667742,"american, breakfast",25,No,No,No,2,4.1,294,United States,american,Low
Devotay,216,Cedar Rapids/Iowa City,-91.5318,41.6625,"mediterranean, tapas, vegetarian",40,No,No,No,3,4.0,380,United States,mediterranean,Low
Jimmy Jack's Rib Shack,216,Cedar Rapids/Iowa City,-91.5074,41.6428,bbq,25,No,No,No,2,4.2,259,United States,bbq,Low
Zoeys Pizzeria,216,Cedar Rapids/Iowa City,-91.5995,42.0331,"pizza, sandwich",25,No,No,No,2,4.7,433,United States,pizza,Low
Tokyo Sushi,37,Chatham-Kent,-82.188438,42.397683,"japanese, sushi",25,No,No,No,2,3.7,176,Canada,japanese,Low
Berry Patch Restaurant,216,Clatskanie,-123.368151,46.126967,"american, breakfast, desserts",10,No,No,No,1,4.3,96,United States,american,Low
Sakura Sushi & Grill,216,Cochrane,-114.472474,51.183934,"asian, japanese",25,No,No,No,2,3.1,6,United States,asian,Low
Uptown Vietnam cuisine,216,Columbus,-84.992671,32.470315,"asian, vietnamese",10,No,No,No,1,3.3,33,United States,asian,Low
Cafe Le Rue @ The Landings,216,Columbus,-84.95591,32.519247,"american, seafood, cajun",25,No,No,No,2,4.6,489,United States,american,Low
Mark's City Grille,216,Columbus,-84.927047,32.555591,american,25,No,No,No,2,4.5,345,United States,american,Low
B Merrell's,216,Columbus,-84.9436,32.5577,"burger, bar food, southern",25,No,No,No,2,3.8,149,United States,burger,Low
Cannon Brewpub,216,Columbus,-84.9936,32.4656,"pizza, bar food",25,No,No,No,2,3.9,330,United States,pizza,Low
Fuji Japanese Steak House,216,Columbus,-84.954984,32.5382197,"japanese, steak",40,No,No,No,3,3.9,247,United States,japanese,Low
Ruth Ann's Family Restaurant,216,Columbus,-84.9876,32.4637,"breakfast, diner, southern",10,No,No,No,1,3.7,123,United States,breakfast,Low
Samurai Japanese Cuisine & Sushi Bar,216,Columbus,-84.9933631,32.4652417,"japanese, steak, sushi",40,No,No,No,3,3.6,109,United States,japanese,Low
Wasabi Sushi and Thai,216,Columbus,-84.96661,32.534002,"japanese, sushi, thai",40,No,No,No,3,3.7,134,United States,japanese,Low
Buckhead Bar and Grill,216,Columbus,-84.95367,32.513154,"seafood, steak, vegetarian",40,No,No,No,3,4.2,722,United States,seafood,Low
Burt's Butcher Shoppe and Eatery,216,Columbus,-84.947569,32.504657,steak,25,No,No,No,2,4.3,213,United States,steak,Low
Chef Lee's Peking Restaurant,216,Columbus,-84.9607,32.5393,chinese,25,No,No,No,2,4.0,335,United States,chinese,Low
Country's Barbecue,216,Columbus,-84.9464,32.4792,"bbq, southern",25,No,No,No,2,4.0,353,United States,bbq,Low
Mellow Mushroom,216,Columbus,-84.9557,32.5321,pizza,25,No,No,No,2,4.1,192,United States,pizza,Low
Meritage,216,Columbus,-84.992093,32.466158,"american, tapas",40,No,No,No,3,4.1,302,United States,american,Low
Mongo The Mongolian Fire Pit,216,Columbus,-84.938698,32.560905,"asian, chinese",10,No,No,No,1,4.2,355,United States,asian,Low
The Black Cow,216,Columbus,-84.991384,32.468757,american,25,No,No,No,2,4.3,287,United States,american,Low
Wood Stone,216,Columbus,-84.963201,32.527217,"italian, mediterranean, pizza",40,No,No,No,3,4.0,264,United States,italian,Low
Hunter's Pub,216,Columbus,-85.0213,32.7455,"american, seafood, steak",40,No,No,No,3,4.4,235,United States,american,Low
Consort Restaurant,37,Consort,-110.7746994,52.0082889,"chinese, canadian",25,No,No,No,2,3.0,6,Canada,chinese,Low
Thatcher's Barbeque and Grill,216,Dalton,-84.9396931,34.5251331,"american, bbq, southern",25,No,No,No,2,3.7,38,United States,american,Low
Christian and Jake's Bistro,216,Dalton,-84.926258,34.474635,"desserts, sandwich",10,No,No,No,1,4.4,122,United States,desserts,Low
Dub's High on the Hog,216,Dalton,-84.9523921,34.4972488,bbq,25,No,No,No,2,4.4,207,United States,bbq,Low
Sierra's Mexican Restaurant,216,Dalton,-84.767911,34.752476,"mexican, tex-mex",10,No,No,No,1,3.9,66,United States,mexican,Low
Oakwood Cafe,216,Dalton,-84.969393,34.769686,"bbq, breakfast, southern",10,No,No,No,1,4.9,249,United States,bbq,Low
Chili's Grill & Bar,216,Dalton,-85.0039,34.7643,american,25,No,No,No,2,3.8,63,United States,american,Low
Fuji Japanese Steakhouse,216,Dalton,-84.992342,34.759551,"japanese, sushi",40,No,No,No,3,3.8,145,United States,japanese,Low
Las Palmas,216,Dalton,-84.992924,34.759665,mexican,10,No,No,No,1,3.8,83,United States,mexican,Low
Tony's Italian Restaurant & Pizza,216,Dalton,-84.999678,34.758645,italian,25,No,No,No,2,3.7,116,United States,italian,Low
Filling Station,216,Dalton,-84.9678,34.7742,"american, burger",10,No,No,No,1,4.1,122,United States,american,Low
Five Guys Burgers and Fries,216,Dalton,-84.990925,34.759273,fast food,10,No,No,No,1,4.1,142,United States,fast food,Low
